120.58823529411765;161362.3989221547 121.76470588235294;133400.06905372007 70.58823529411765;1157.5409069090892 71.17647058823529;1088.0275224313675 139.41176470588235;1049141.3769055118 2.9411764705882355;0.26715001095378754 70.58823529411765;1157.5409069090892 77.05882352941177;2212.4252379664526 140.58823529411765;900118.7973219707 28.823529411764707;-9.32097842573272 120.58823529411765;161362.3989221547 59.411764705882355;104.57072392479236 11.176470588235295;-3.0077590536944223 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 121.76470588235294;133400.06905372007 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 19.411764705882355;3.713772651335282 59.411764705882355;104.57072392479236 
140.58823529411765;900118.7973219707 140.58823529411765;900118.7973219707 134.7058823529412;264424.2437154384 45.294117647058826;89.61259079299705 95.88235294117648;14562.429376470078 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 101.76470588235294;24798.988565221043 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 120.58823529411765;161362.3989221547 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 140.58823529411765;900118.7973219707 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 140.58823529411765;900118.7973219707 
139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 139.41176470588235;1049141.3769055118 150.0;-2336943.4676285754 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 140.58823529411765;900118.7973219707 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 101.76470588235294;24798.988565221043 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 
140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 138.82352941176472;597884.2857831385 137.05882352941177;-825584.0760581574 148.23529411764707;-1502684.0644474158 65.29411764705883;430.3621894923333 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 64.11764705882354;584.402243349901 139.41176470588235;1049141.3769055118 120.58823529411765;161362.3989221547 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 138.82352941176472;597884.2857831385 135.88235294117646;-568104.7085415808 139.41176470588235;1049141.3769055118 101.76470588235294;24798.988565221043 
139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 102.94117647058823;19741.890355496427 138.82352941176472;597884.2857831385 137.05882352941177;-825584.0760581574 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 120.0;94497.25218201608 140.0;1178840.4139511404 137.05882352941177;-825584.0760581574 101.76470588235294;24798.988565221043 138.82352941176472;597884.2857831385 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.0;1178840.4139511404 65.29411764705883;430.3621894923333 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 
138.82352941176472;597884.2857831385 139.41176470588235;1049141.3769055118 138.82352941176472;597884.2857831385 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 135.29411764705884;-153383.20324765623 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.58823529411765;900118.7973219707 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 138.82352941176472;597884.2857831385 139.41176470588235;1049141.3769055118 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.0;1178840.4139511404 64.11764705882354;584.402243349901 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 139.41176470588235;1049141.3769055118 140.0;1178840.4139511404 
140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.58823529411765;900118.7973219707 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 121.1764705882353;178453.42623494667 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 140.0;1178840.4139511404 140.0;1178840.4139511404 
138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 137.64705882352942;-523274.1544904748 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 64.70588235294117;616.3967183264423 
121.1764705882353;178453.42623494667 140.0;1178840.4139511404 135.29411764705884;-153383.20324765623 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
140.0;1178840.4139511404 140.0;1178840.4139511404 149.41176470588235;-3029040.3333401014 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.58823529411765;900118.7973219707 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 102.3529411764706;26995.110552007027 140.0;1178840.4139511404 138.82352941176472;597884.2857831385 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 140.0;1178840.4139511404 
